#white first move
#kings pawn
#rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -;e2e4

#queens pawn
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -;d2d4


#black first move
#react to e4:e5
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3;e7e5

#react to d4:d5
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3;d7d5



#london shitstem white
#react to d5:bf4
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq d6;c1f4
#react to nf6:nf3
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -;g1f3
#react to c2c5:e2e3
#disabled here \/
#rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq c6;e2e3
#react to b8c6:c2c3
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -;c2c3
#react to f6h5:d4c5
r1bqkb1r/pp2pppp/2n5/2pp3n/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -;d4c5
#sub_react to c5c4:b2b3
r1bqkb1r/pp2pppp/2n2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -;b2b3


#london shitstem black
#react to f4:nf6
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq -;g8f6
#react to nf3:c8c5
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq -;c7c5
#react to e2e3:b8c6
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -;b8c6
#react to c2c3:f6h5
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq -;f6h5




#scandinavian defense or something for white
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq d6;e4d5
rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq -;b1c3
rnb1kbnr/ppp1pppp/4q3/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq -;f1e2
#computer generated scandinavian
rnb1kbnr/pp2pppp/4q3/2p5/8/2N5/PPPPBPPP/R1BQK1NR w KQkq c6;d2d4
rnb1kbnr/pp2pppp/4q3/8/2pP4/2N5/PPP1BPPP/R1BQK1NR w KQkq -;d1d2
rnb1kbnr/pp2ppp1/4q2p/8/2pP4/2N5/PPPQBPPP/R1B1K1NR w KQkq -;d2e3
rnb1kb1r/pp2ppp1/4qn1p/8/2pP4/2N1Q3/PPP1BPPP/R1B1K1NR w KQkq -;e3e6
rn2kb1r/pp2ppp1/4bn1p/8/2pP4/2N5/PPP1BPPP/R1B1K1NR w KQkq -;e2f3
rnb1kb1r/pp2ppp1/5n1p/8/2pP4/2N2B2/PPP2PPP/R1B1K1NR w KQkq -;c3d5
rnb1kb1r/pp2ppp1/7p/3n4/2pP4/5B2/PPP2PPP/R1B1K1NR w KQkq -;f3d5

#mainline white(by me)
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6;g1f3
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -;b1c3
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -;d2d3
r1bqkb1r/ppp2ppp/2np1n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq -;c1e3
r2qkb1r/ppp2ppp/2npbn2/4p3/4P3/2NPBN2/PPP2PPP/R2QKB1R w KQkq -;f1e2
r2qk2r/ppp1bppp/2npbn2/4p3/4P3/2NPBN2/PPP1BPPP/R2QK2R w KQkq -;e1g1

#mainline black(by me)
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -;b8c6
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -;g8f6
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -;d7d6
r1bqkb1r/ppp2ppp/2np1n2/4p3/4P3/2NPBN2/PPP2PPP/R2QKB1R b KQkq -;c8e6
r2qkb1r/ppp2ppp/2npbn2/4p3/4P3/2NPBN2/PPP1BPPP/R2QK2R b KQkq -;f8e7
r2qk2r/ppp1bppp/2npbn2/4p3/4P3/2NPBN2/PPP1BPPP/R2Q1RK1 b kq -;e8g8

#sisilian defence
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6;g1f3
